,portfolio_value
2021-04-30,1000000.0
2021-05-03,1000000.0
2021-05-04,1000000.0
2021-05-05,1000000.0
2021-05-06,1000000.0
2021-05-07,999944.8148401283
2021-05-10,1265625.5555152243
2021-05-11,1265625.5555152243
2021-05-12,1265625.5555152243
2021-05-14,1265625.5555152243
2021-05-17,1265625.5555152243
2021-05-18,1265543.468162006
2021-05-19,1277633.1630452168
2021-05-20,1283847.8316949648
2021-05-21,1283251.1489103935
2021-05-24,1298878.9385007615
2021-05-25,1164896.5013246113
2021-05-26,1164067.318780512
2021-05-27,1163759.1603303812
2021-05-28,1482264.358827861
2021-05-31,1482220.1772082006
2021-06-01,1485498.7916500908
2021-06-02,1507675.2245517436
2021-06-03,1710090.950207509
2021-06-04,1710016.7957340654
2021-06-07,1731435.8063827846
2021-06-08,1729258.2064800407
2021-06-09,1735313.418695984
2021-06-10,1734942.7418946503
2021-06-11,1553022.7500030675
2021-06-14,1573597.2450676807
2021-06-15,1418471.9987270725
2021-06-16,1418471.9987270725
2021-06-17,1418471.9987270725
2021-06-18,1418471.9987270725
2021-06-21,1418471.9987270725
2021-06-22,1418471.9987270725
2021-06-23,1418471.9987270725
2021-06-24,1418471.9987270725
2021-06-25,1418393.024761077
2021-06-28,1439436.8402419365
2021-06-29,1299669.1020319408
2021-06-30,1299669.1020319408
2021-07-01,1299669.1020319408
2021-07-02,1299594.2716302657
2021-07-05,1303606.3701393288
2021-07-06,1311015.671680977
2021-07-07,1301035.6389328472
2021-07-08,1325610.4335898908
2021-07-09,1157335.7900336
2021-07-12,1157335.7900336
2021-07-13,1157335.7900336
2021-07-14,1157335.7900336
2021-07-15,1157335.7900336
2021-07-16,1157335.7900336
2021-07-19,1157335.7900336
2021-07-20,1157335.7900336
2021-07-22,1157335.7900336
2021-07-23,1157269.4377708926
2021-07-26,1139491.1999579952
2021-07-27,960062.4119032942
2021-07-28,989955.1636941888
2021-07-29,1019840.1389430965
2021-07-30,1022133.2455107286
2021-08-02,1021892.4858490189
2021-08-03,887750.0708370862
2021-08-04,887750.0708370862
2021-08-05,887750.0708370862
2021-08-06,887750.0708370862
2021-08-09,887750.0708370862
2021-08-10,887750.0708370862
2021-08-11,887750.0708370862
2021-08-12,887750.0708370862
2021-08-13,887750.0708370862
2021-08-16,887750.0708370862
2021-08-17,887750.0708370862
2021-08-18,887663.9176098967
2021-08-20,902279.5744662309
2021-08-23,898152.11398091
2021-08-24,916146.0877152414
2021-08-25,759419.6121571766
2021-08-26,759419.6121571766
2021-08-27,759419.6121571766
2021-08-30,759333.1471414397
2021-08-31,787811.4787317315
2021-09-01,776425.2383657303
